Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches,MP,Starts,Min,90s_dup,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_dup,PKA,PKsv,PKm,Save%.1,Matches_dup,MP_dup,Min_dup,Mn/MP,Min%,90s_dup,Starts_dup,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches_dup,90s_dup,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_dup
0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09,0.06,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67,0.47,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21,0.88,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,br BRA,MF,19.0,16.5,0.0,,7.0,,0.42,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,24.0,1484.0,62.0,43.4,16.5,16.0,,4.0,8.0,,,,,,,,Matches,,16.5,2.0,0.0,,23.0,,,,,,,,,Matches
Ben Foster,eng ENG,GK,24.0,1.0,0.0,,0.0,,0.0,,,,0.0,0.0,Matches,,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,,,,,,Matches,1.0,90.0,90.0,2.6,1.0,1.0,,1.0,0.0,,,,,,,,Matches,,1.0,0.0,0.0,,0.0,,,,,,,,,Matches
Carlos Tevez,ar ARG,"FW,MF",23.0,29.7,14.0,,52.0,,1.75,,0.27,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,34.0,2677.0,79.0,78.3,29.7,31.0,,19.0,3.0,,,,,,,,Matches,,29.7,1.0,0.0,,39.0,,,,,,,,,Matches
Chris Eagles,eng ENG,MF,21.0,1.5,0.0,,2.0,,1.35,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,4.0,133.0,33.0,3.9,1.5,1.0,,0.0,3.0,,,,,,,,Matches,,1.5,0.0,0.0,,2.0,,,,,,,,,Matches
Cristiano Ronaldo,pt POR,"FW,MF",22.0,30.5,31.0,,89.0,,2.92,,0.3,,4.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,34.0,2747.0,81.0,80.3,30.5,31.0,,26.0,3.0,,,,,,,,Matches,,30.5,5.0,1.0,,12.0,,,,,,,,,Matches
Danny Simpson,eng ENG,DF,20.0,1.4,0.0,,2.0,,1.38,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,3.0,130.0,43.0,3.8,1.4,1.0,,0.0,2.0,,,,,,,,Matches,,1.4,0.0,0.0,,1.0,,,,,,,,,Matches
Darren Fletcher,sct SCO,MF,23.0,7.3,0.0,,4.0,,0.55,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,16.0,653.0,41.0,19.1,7.3,5.0,,5.0,11.0,,,,,,,,Matches,,7.3,1.0,0.0,,8.0,,,,,,,,,Matches
Edwin van der Sar,nl NED,GK,36.0,28.5,0.0,,0.0,,0.0,,,,0.0,0.0,Matches,,29.0,29.0,2565.0,28.5,18.0,0.63,113.0,95.0,84.1,19.0,5.0,4.0,15.0,51.7,,,,,,Matches,29.0,2565.0,88.0,75.0,28.5,29.0,,28.0,0.0,,,,,,,,Matches,,28.5,2.0,0.0,,0.0,,,,,,,,,Matches
Fraizer Campbell,eng ENG,FW,19.0,0.2,0.0,,0.0,,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,18.0,0.5,0.2,0.0,,,1.0,,,,,,,,Matches,,0.2,0.0,0.0,,1.0,,,,,,,,,Matches
G+A,G-PK,G+A-PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerard Piqué,es ESP,DF,20.0,5.4,0.0,,1.0,,0.19,,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,9.0,482.0,54.0,14.1,5.4,5.0,,4.0,4.0,,,,,,,,Matches,,5.4,0.0,0.0,,10.0,,,,,,,,,Matches
