Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2007-08-12,,Premier League,Matchweek 1,Sun,Home,D,0,0,Reading,,,,,,Rob Styles,Match Report,
2007-08-15,,Premier League,Matchweek 2,Wed,Away,D,1,1,Portsmouth,,,,,,Stephen Bennett,Match Report,
2007-08-19,,Premier League,Matchweek 3,Sun,Away,L,0,1,Manchester City,,,,,,Mark Clattenburg,Match Report,
2007-08-26,,Premier League,Matchweek 4,Sun,Home,W,1,0,Tottenham,,,,,,Howard Webb,Match Report,
2007-09-01,,Premier League,Matchweek 5,Sat,Home,W,1,0,Sunderland,,,,,,Martin Atkinson,Match Report,
2007-09-15,,Premier League,Matchweek 6,Sat,Away,W,1,0,Everton,,,,,,Alan Wiley,Match Report,
2007-09-19,,Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,,,,,,Herbert Fandel,Match Report,
2007-09-23,,Premier League,Matchweek 7,Sun,Home,W,2,0,Chelsea,,,,,,Mike Dean,Match Report,
2007-09-29,,Premier League,Matchweek 8,Sat,Away,W,1,0,Birmingham City,,,,,,Stephen Bennett,Match Report,
2007-10-02,,Champions Lg,Group stage,Tue,Home,W,1,0,it Roma,,,,,,Mejuto González,Match Report,
2007-10-06,,Premier League,Matchweek 9,Sat,Home,W,4,0,Wigan Athletic,,"75,300",,,,Mike Riley,Match Report,
2007-10-20,,Premier League,Matchweek 10,Sat,Away,W,4,1,Aston Villa,,,,,,Rob Styles,Match Report,
2007-10-23,,Champions Lg,Group stage,Tue,Away,W,4,2,ua Dynamo Kyiv,,,,,,Viktor Kassai,Match Report,
2007-10-27,,Premier League,Matchweek 11,Sat,Home,W,4,1,Middlesbrough,,,,,,Alan Wiley,Match Report,
2007-11-03,,Premier League,Matchweek 12,Sat,Away,D,2,2,Arsenal,,,,,,Howard Webb,Match Report,
2007-11-07,,Champions Lg,Group stage,Wed,Home,W,4,0,ua Dynamo Kyiv,,,,,,Jan Wegereef,Match Report,
2007-11-11,,Premier League,Matchweek 13,Sun,Home,W,2,0,Blackburn,,,,,,Chris Foy,Match Report,
2007-11-24,,Premier League,Matchweek 14,Sat,Away,L,0,1,Bolton,,,,,,Mark Clattenburg,Match Report,
2007-11-27,,Champions Lg,Group stage,Tue,Home,W,2,1,pt Sporting CP,,,,,,Claus Bo Larsen,Match Report,
2007-12-03,,Premier League,Matchweek 15,Mon,Home,W,2,0,Fulham,,,,,,Rob Styles,Match Report,
2007-12-08,,Premier League,Matchweek 16,Sat,Home,W,4,1,Derby County,,,,,,Chris Foy,Match Report,
2007-12-12,,Champions Lg,Group stage,Wed,Away,D,1,1,it Roma,,,,,,Martin Hansson,Match Report,
