Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Rio Ferdinand,eng ENG,DF,28,33.8,4,0,,15,,,,,,,,,Matches
Wes Brown,eng ENG,DF,27,33.7,8,0,,51,,,,,,,,,Matches
Patrice Evra,fr FRA,DF,26,31.3,4,0,,38,,,,,,,,,Matches
Nemanja Vidić,rs SRB,DF,25,29.6,5,0,,30,,,,,,,,,Matches
Cristiano Ronaldo,pt POR,"FW,MF",22,30.5,5,1,,12,,,,,,,,,Matches
Carlos Tevez,ar ARG,"FW,MF",23,29.7,1,0,,39,,,,,,,,,Matches
Edwin van der Sar,nl NED,GK,36,28.5,2,0,,0,,,,,,,,,Matches
Ryan Giggs,wls WAL,"FW,MF",33,24.8,1,0,,16,,,,,,,,,Matches
Wayne Rooney,eng ENG,"FW,MF",21,24.2,8,0,,38,,,,,,,,,Matches
Michael Carrick,eng ENG,MF,26,24.5,2,0,,12,,,,,,,,,Matches
Paul Scholes,eng ENG,MF,32,20.4,3,0,,28,,,,,,,,,Matches
Nani,pt POR,"FW,MF",20,17.5,2,1,,40,,,,,,,,,Matches
Owen Hargreaves,eng ENG,MF,26,17.0,2,0,,17,,,,,,,,,Matches
Anderson,br BRA,MF,19,16.5,2,0,,23,,,,,,,,,Matches
John O'Shea,ie IRL,"DF,MF",26,12.7,1,0,,8,,,,,,,,,Matches
Tomasz Kuszczak,pl POL,GK,25,8.5,0,0,,0,,,,,,,,,Matches
Park Ji-sung,kr KOR,MF,26,7.0,0,0,,1,,,,,,,,,Matches
Louis Saha,fr FRA,FW,28,8.2,0,0,,14,,,,,,,,,Matches
Darren Fletcher,sct SCO,MF,23,7.3,1,0,,8,,,,,,,,,Matches
Gerard Piqué,es ESP,DF,20,5.4,0,0,,10,,,,,,,,,Matches
Mikaël Silvestre,fr FRA,DF,29,2.1,0,0,,2,,,,,,,,,Matches
Chris Eagles,eng ENG,MF,21,1.5,0,0,,2,,,,,,,,,Matches
Danny Simpson,eng ENG,DF,20,1.4,0,0,,1,,,,,,,,,Matches
Ben Foster,eng ENG,GK,24,1.0,0,0,,0,,,,,,,,,Matches
Fraizer Campbell,eng ENG,FW,19,0.2,0,0,,1,,,,,,,,,Matches
