Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Rio Ferdinand,eng ENG,DF,28,35,3045,87,89.0,33.8,35,,30.0,0,,,,,,,,Matches,
Wes Brown,eng ENG,DF,27,36,3030,84,88.6,33.7,34,,27.0,2,,,,,,,,Matches,
Patrice Evra,fr FRA,DF,26,33,2820,85,82.5,31.3,33,,28.0,0,,,,,,,,Matches,
Nemanja Vidić,rs SRB,DF,25,32,2665,83,77.9,29.6,32,,27.0,0,,,,,,,,Matches,
Cristiano Ronaldo,pt POR,"FW,MF",22,34,2747,81,80.3,30.5,31,,26.0,3,,,,,,,,Matches,
Carlos Tevez,ar ARG,"FW,MF",23,34,2677,79,78.3,29.7,31,,19.0,3,,,,,,,,Matches,
Edwin van der Sar,nl NED,GK,36,29,2565,88,75.0,28.5,29,,28.0,0,,,,,,,,Matches,
Ryan Giggs,wls WAL,"FW,MF",33,31,2233,72,65.3,24.8,26,,17.0,5,,,,,,,,Matches,
Wayne Rooney,eng ENG,"FW,MF",21,27,2181,81,63.8,24.2,25,,20.0,2,,,,,,,,Matches,
Michael Carrick,eng ENG,MF,26,31,2203,71,64.4,24.5,24,,20.0,7,,,,,,,,Matches,
Paul Scholes,eng ENG,MF,32,24,1836,77,53.7,20.4,22,,15.0,2,,,,,,,,Matches,
Nani,pt POR,"FW,MF",20,26,1573,61,46.0,17.5,16,,11.0,10,,,,,,,,Matches,
Owen Hargreaves,eng ENG,MF,26,23,1528,66,44.7,17.0,16,,10.0,7,,,,,,,,Matches,
Anderson,br BRA,MF,19,24,1484,62,43.4,16.5,16,,4.0,8,,,,,,,,Matches,
John O'Shea,ie IRL,"DF,MF",26,28,1147,41,33.5,12.7,10,,7.0,18,,,,,,,,Matches,
Tomasz Kuszczak,pl POL,GK,25,9,765,85,22.4,8.5,8,,8.0,1,,,,,,,,Matches,
Park Ji-sung,kr KOR,MF,26,12,631,53,18.5,7.0,8,,2.0,4,,,,,,,,Matches,
Louis Saha,fr FRA,FW,28,17,741,44,21.7,8.2,6,,3.0,11,,,,,,,,Matches,
Darren Fletcher,sct SCO,MF,23,16,653,41,19.1,7.3,5,,5.0,11,,,,,,,,Matches,
Gerard Piqué,es ESP,DF,20,9,482,54,14.1,5.4,5,,4.0,4,,,,,,,,Matches,
Mikaël Silvestre,fr FRA,DF,29,3,186,62,5.4,2.1,3,,1.0,0,,,,,,,,Matches,
Chris Eagles,eng ENG,MF,21,4,133,33,3.9,1.5,1,,0.0,3,,,,,,,,Matches,
Danny Simpson,eng ENG,DF,20,3,130,43,3.8,1.4,1,,0.0,2,,,,,,,,Matches,
Ben Foster,eng ENG,GK,24,1,90,90,2.6,1.0,1,,1.0,0,,,,,,,,Matches,
Fraizer Campbell,eng ENG,FW,19,1,18,18,0.5,0.2,0,,,1,,,,,,,,Matches,
