Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Rio Ferdinand,eng ENG,DF,28,33.8,2,,6,,0.18,,0.33,,0,0,Matches,
Wes Brown,eng ENG,DF,27,33.7,1,,4,,0.12,,0.25,,0,0,Matches,
Patrice Evra,fr FRA,DF,26,31.3,0,,2,,0.06,,0.0,,0,0,Matches,
Nemanja Vidić,rs SRB,DF,25,29.6,1,,5,,0.17,,0.2,,0,0,Matches,
Cristiano Ronaldo,pt POR,"FW,MF",22,30.5,31,,89,,2.92,,0.3,,4,5,Matches,
Carlos Tevez,ar ARG,"FW,MF",23,29.7,14,,52,,1.75,,0.27,,0,0,Matches,
Edwin van der Sar,nl NED,GK,36,28.5,0,,0,,0.0,,,,0,0,Matches,
Ryan Giggs,wls WAL,"FW,MF",33,24.8,3,,18,,0.73,,0.17,,0,0,Matches,
Wayne Rooney,eng ENG,"FW,MF",21,24.2,12,,53,,2.19,,0.23,,0,1,Matches,
Michael Carrick,eng ENG,MF,26,24.5,2,,8,,0.33,,0.25,,0,0,Matches,
Paul Scholes,eng ENG,MF,32,20.4,1,,6,,0.29,,0.17,,0,0,Matches,
Nani,pt POR,"FW,MF",20,17.5,3,,23,,1.32,,0.13,,0,0,Matches,
Owen Hargreaves,eng ENG,MF,26,17.0,2,,6,,0.35,,0.33,,0,0,Matches,
Anderson,br BRA,MF,19,16.5,0,,7,,0.42,,0.0,,0,0,Matches,
John O'Shea,ie IRL,"DF,MF",26,12.7,0,,2,,0.16,,0.0,,0,0,Matches,
Tomasz Kuszczak,pl POL,GK,25,8.5,0,,0,,0.0,,,,0,0,Matches,
Park Ji-sung,kr KOR,MF,26,7.0,1,,2,,0.29,,0.5,,0,0,Matches,
Louis Saha,fr FRA,FW,28,8.2,5,,9,,1.09,,0.33,,2,2,Matches,
Darren Fletcher,sct SCO,MF,23,7.3,0,,4,,0.55,,0.0,,0,0,Matches,
Gerard Piqué,es ESP,DF,20,5.4,0,,1,,0.19,,0.0,,0,0,Matches,
Mikaël Silvestre,fr FRA,DF,29,2.1,0,,0,,0.0,,,,0,0,Matches,
Chris Eagles,eng ENG,MF,21,1.5,0,,2,,1.35,,0.0,,0,0,Matches,
Danny Simpson,eng ENG,DF,20,1.4,0,,2,,1.38,,0.0,,0,0,Matches,
Ben Foster,eng ENG,GK,24,1.0,0,,0,,0.0,,,,0,0,Matches,
Fraizer Campbell,eng ENG,FW,19,0.2,0,,0,,0.0,,,,0,0,Matches,
